Date,US Production,US Import,US Exports,US Net Import,Inventory,Adjustment,Import from OPEC,Crude Oil and Liquid Fuels Supply,OPEC Production Capacity,Net Inventory Withdrawals,OPEC Production,Value,Nominal
11/30/18,11759240.67,7903000,2326000,5177133.333,442989428.6,149783.136,2435000,19010867.26,33009000,-1250585.983,32219000,45.41,45.41
10/31/18,11536968,7312000,2326000,4986548,432459000,245032.161,2411000,18629446.16,33411000,-1838287.259,32381000,50.78,50.93
9/30/18,11458325,7589000,2116000,5473100,416141000,363642,2673000,18650827.67,33386000,-1664979.654,32106000,64.85,65.31
8/31/18,11325000,8000000,1749000,6250786,406854000,-43366.194,2551000,18577317.97,33340000,8173.71,31960000,72.88,73.25
7/31/18,10935972,7923000,2139000,5784633,409325000,456460.032,2670000,17978907.16,33084341,-270203.822,31724000,69.52,69.8
6/30/18,10672361,8480000,2200000,6279952,414837000,93720.667,2731000,17598395.67,33196096,659474.334,31666000,68.55,68.76
5/31/18,10463893,7825000,2005000,5819209,433277000,526124.258,2472000,17324516.84,33549000,-167501.551,31669000,73.93,74.15
4/30/18,10475008,8244000,1756000,6488717,435057000,139308,3235000,17246079,33720000,-653511.228,31800000,66.97,67.04
3/31/18,10461343,7616000,1671000,5944302,423448000,257257.903,2523000,17156125.77,33800254,489123.941,31870000,68.78,68.57
2/28/18,10248239,7493000,1605000,5887682,423520000,-31171.429,2432000,16773845.71,33959000,741017.359,32089000,65.39,64.94
1/31/18,9994559,8012000,1342000,6670863,419902000,-77196,2695000,16365984.45,34004000,-924873.709,32234000,62.19,61.64
12/31/17,10040424,7782000,1522000,6260039,421646000,10859.484,2641000,16586373.39,34047000,316468.716,31997000,65.64,64.73
11/30/17,10103263,7674000,1544000,6130219,453054000,127784.667,2794000,16851133.33,34182000,1405592.741,32132000,61.57,60.42
10/31/17,9703113,7681000,1720000,5960710,459731000,-71855.806,2911000,16227120.36,34406000,-561238.383,32396000,58.49,57.4
9/30/17,9495195,7324000,1463000,5860284,469588000,252954.333,2570000,15609618,34424000,1295130.286,32594000,55.41,54.38
8/31/17,9243596,7923000,817000,7105587,459982000,-127150.871,2881000,15568833.29,34393000,830786.539,32453000,52.6,51.67
7/31/17,9230055,7915000,956000,6958941,483411000,533713.065,3189000,15554008.68,34496000,-384405.593,32591000,48.32,47.23
6/30/17,9073813,8089000,865000,7224146,501557000,220940.333,3348000,15464704.33,34225000,2157762.988,32370000,51.47,50.17
5/31/17,9167862,8487000,1098000,7388951,516808000,285348.194,3440000,15464295.39,34032000,1425417.297,31932000,47.24,46.04
4/30/17,9084755,8204000,1128000,7076572,524286000,225372.667,3516000,15255641,33664000,-190092.011,31424000,49.62,48.32
3/31/17,9140288,8165000,930000,7234948,538595000,-9204.226,3357000,15337290.71,33611000,1810191.685,31346000,50.66,49.33
2/28/17,9083453,7877000,1146000,6730914,525419000,334740,3177000,15155421.29,33897000,-194395.598,31727000,52.12,50.6
1/31/17,8840093,8478000,711000,7766618,506798000,226739.806,3579000,14741446.42,33836000,-1710885.096,31846000,55.68,54.01
12/31/16,8777924,7817000,468000,7348939,484622000,191782.194,3292000,14713972.39,33844000,999027.347,32793708,54.66,52.81
11/30/16,8888274,8023000,606000,7417357,490734000,-86131.333,3242000,14985661.33,33885660,-1537888.383,32935315,55.92,53.72
10/31/16,8787154,7570000,502000,7068196,491203000,233295.323,3110000,14760360.9,33551327,-2411919.493,32551327,51.47,49.44
9/30/16,8518832,8040000,775000,7265749,471537000,50552,3314000,14441927.33,33286000,192987.907,32295520,48.69,46.86
8/31/16,8670220,8016000,720000,7295189,486675000,409042.774,3118000,14635611.68,33183000,2489230.784,32232743,50.22,48.24
7/31/16,8634994,8096000,536000,7560462,493458000,186931.548,3468000,14832969.55,33275000,-1713480.941,32354995,46.62,44.7
6/30/16,8670494,7560000,530000,7029576,500857000,365596.667,3024000,14827207,33325463,61764.509,32275463,43.43,41.6
5/31/16,8823986,7927000,788000,7139835,511861000,354760.194,3422000,15027552.1,33097351,-143729.187,31847351,50.36,48.33
4/30/16,8865782,7611000,624000,6987679,509323000,217039.333,3091000,14857672.67,33181403,-18014.754,31821058,51.36,49.1
3/31/16,9080962,8012000,596000,7416506,504811000,-6757.935,3271000,15031519.13,33162000,102600.679,31711545,48.22,45.92
2/29/16,9054658,7914000,454000,7459678,492153000,31388.552,2979000,14831548.38,33056000,1274315.163,31605530,40.45,38.34
1/31/16,9196963,7615000,490000,7125462,471767000,356090.806,2816000,14997329.71,33374000,-4631742.924,32023542,35.78,33.75
